Share,Category,Sector,RM,Up,Last Traded Price,Percentage Change,High Price,Low Price,% High Movt
20MICRONS,Exit,CHEMICALS,#N/A,#N/A,43,#N/A,#N/A,#N/A,#N/A
3IINFOTECH,BWLV,IT,#N/A,#N/A,5.35,#N/A,#N/A,#N/A,#N/A
3MINDIA,Exit,DIVERSIFIED,0,0,12219.65,1.23,12399.95,12115,0.014540381
63MOONS,RS,IT,#N/A,#N/A,75.6,0.26,76.7,75.6,0.014341591
8KMILES,HWV,IT,0,0,623.9,0.17,640,624,0.02515625
A2ZINFRA,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,0,0,47.85,2.93,50.5,47.8,0.052475248
Aarti Drugs,BWLV,PHARMA,0,0,533.65,-0.31,543.75,531,0.018574713
AARTIIND,Buy,CHEMICALS,CRUDE OIL,Down,865,0.35,874.9,866,0.011315579
AARVEEDEN,Exit,TEXTILES AND APPAREL,#N/A,#N/A,71.05,#N/A,#N/A,#N/A,#N/A
ABAN,Exit,ENERGY-OIL & GAS,0,0,219.3,0.55,222.9,220.1,0.01615074
ABB,Exit,INFRA-MACHINERY EQUIPMENT,0,0,1601.95,-4.06,1602,1526,3.1211E-05
ABBOTINDIA,HWV,PHARMA,0,0,4206.45,2.56,4323,4206.45,0.026960444
ABFRL,Exit,TEXTILES AND APPAREL,0,0,158.15,3.6,164.3,158.9,0.037431528
ABIRLANUVO,Buy,DIVERSIFIED,#N/A,#N/A,1692.6,-0.33,1713.45,1684.35,0.012168432
ABMINTLTD,NL,REALTY-HOUSEHOLD,#N/A,#N/A,184.8,#N/A,#N/A,#N/A,#N/A
ACC,Exit,CEMENTS,#N/A,#N/A,1690.35,0.43,1722.95,1690.1,0.018921037
ACCELYA,BWLV,IT,#N/A,#N/A,1488.2,#N/A,#N/A,#N/A,#N/A
ACE,HWV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,68.3,-1.17,68.9,66.8,0.008708273
ADANIENT,Buy,INFRA-POWER,#N/A,#N/A,122.8,-2.16,126.8,117.4,0.031545741
ADANIPORTS,Buy,TRANSPORTATION LOGISTICS,#N/A,#N/A,351.9,1.25,358.9,350.5,0.01950404
ADANIPOWER,Exit,INFRA-POWER,#N/A,#N/A,31.1,-0.96,31.35,30.7,0.007974482
ADANITRANS,HWV,INFRA-POWER,0,0,75.8,8.84,83.35,75.65,0.090581884
ADFFOODS,RS,FMCG-FOOD,0,0,258.7,15.35,299.4,260.4,0.135938544
ADHUNIK,Exit,METALS AND MINING,#N/A,#N/A,6.75,#N/A,#N/A,#N/A,#N/A
ADHUNIKIND,NL,METALS AND MINING,#N/A,#N/A,109.65,#N/A,#N/A,#N/A,#N/A
ADLABS,Exit,ENTERTAINMENT-HOTELS AND LEISURE,0,0,83.8,4.53,90.2,84.15,0.070953437
ADORWELD,HWLV,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,334.8,#N/A,#N/A,#N/A,#N/A
ADSL,Exit,IT,#N/A,#N/A,28.8,#N/A,#N/A,#N/A,#N/A
ADVANIHOTR,HWLV,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,60.9,#N/A,#N/A,#N/A,#N/A
ADVENZYMES,NL,PHARMA,0,0,1961.95,-1.23,1979,1925,0.008615462
AEGISCHEM,RS,TRANSPORTATION LOGISTICS,LPG GAS,DISCUS,184.7,4.3,193.8,185.15,0.046955624
AFL,TA,IT,#N/A,#N/A,60.1,#N/A,#N/A,#N/A,#N/A
AGARIND,RS,TRANSPORTATION LOGISTICS,#N/A,#N/A,735.9,#N/A,#N/A,#N/A,#N/A
AGCNET,TA,IT,#N/A,#N/A,108.55,#N/A,#N/A,#N/A,#N/A
AGRITECH,Exit,FMCG-FOOD,#N/A,#N/A,61.3,#N/A,#N/A,#N/A,#N/A
AHLEAST,HWLV,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,271.1,-0.41,275,266.1,0.014181818
AHLUCONT,HWV,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,0,0,385.9,2.06,394,385,0.020558376
AHLWEST,TA,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,196.25,#N/A,#N/A,#N/A,#N/A
AIAENG,HWV,INFRA-MACHINERY EQUIPMENT,iron ore,down,1523.45,-1.08,1544.45,1500.25,0.013597073
AICHAMP,Exit,DIVERSIFIED,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AIFL,RS,TEXTILES AND APPAREL,0,0,405.9,-0.3,409.15,402.85,0.007943297
AJANTPHARM,Buy,PHARMA,#N/A,#N/A,1598.35,-0.72,1611.75,1578.05,0.008313944
AJMERA,HWV,REALTY,#N/A,#N/A,237.8,-2.27,239.6,230.7,0.007512521
AKSHARCHEM,NL,CHEMICALS,#N/A,#N/A,867.65,#N/A,#N/A,#N/A,#N/A
AKSHOPTFBR,HWV,INFRA-MACHINERY EQUIPMENT,0,0,23,0,23.25,23,0.010752688
AKZOINDIA,HWV,REALTY-HOUSEHOLD,0,0,1952.5,-1.05,1977.05,1921.5,0.012417491
ALANKIT,HWV,FINANCIAL SERVICES,0,0,21.05,-0.24,21.3,20.95,0.011737089
ALBERTDAVD,NL,PHARMA,#N/A,#N/A,321.9,#N/A,#N/A,#N/A,#N/A
ALBK,TA,BANKS-PSU,#N/A,#N/A,87.2,2.29,90.8,86.55,0.039647577
ALCHEM,TA,PHARMA,#N/A,#N/A,18.35,-0.54,18.75,18.2,0.021333333
ALEMBICLTD,HWV,PHARMA,#N/A,#N/A,48.3,-3.11,48.6,46.55,0.00617284
ALICON,HWLV,METALS AND MINING,#N/A,#N/A,516.4,-3.27,524.5,498,0.015443279
ALKALI,Exit,CHEMICALS,#N/A,#N/A,81.4,#N/A,#N/A,#N/A,#N/A
ALKEM,Buy,PHARMA,0,0,1906.35,-0.6,1914.8,1894.05,0.004412994
ALKYLAMINE,HWLV,CHEMICALS,#N/A,#N/A,456.5,2.52,478.45,451.6,0.045877312
ALLCARGO,Buy,TRANSPORTATION LOGISTICS,0,0,183.75,1.06,188.5,184.05,0.025198939
ALLSEC,HWLV,IT,0,0,375.7,0.61,383.85,370.6,0.021232252
ALMONDZ,Exit,FINANCIAL SERVICES,#N/A,#N/A,18.4,#N/A,#N/A,#N/A,#N/A
ALOKTEXT,Exit,TEXTILES AND APPAREL,#N/A,#N/A,3.75,-2.67,3.75,3.65,0
ALPA,Exit,PHARMA,#N/A,#N/A,40.6,#N/A,#N/A,#N/A,#N/A
ALPHAGEO,Buy,ENERGY-OIL & GAS,0,0,1010,-0.5,1022.95,1003.65,0.012659465
ALPSINDUS,Exit,TEXTILES AND APPAREL,#N/A,#N/A,7.2,#N/A,#N/A,#N/A,#N/A
AMARAJABAT,HWV,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,899.95,1.33,918.4,905,0.020089286
AMBIKCO,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,1295.6,0.91,1320,1291.4,0.018484848
AMBUJACEM,HWV,CEMENTS,#N/A,#N/A,259.7,0.87,264.2,257.3,0.017032551
AMDIND,Exit,FMCG-PACKAGING,#N/A,#N/A,31.1,#N/A,#N/A,#N/A,#N/A
AMRUTANJAN,HWLV,PHARMA,#N/A,#N/A,738.95,#N/A,#N/A,#N/A,#N/A
AMTEKAUTO,Exit,AUTO-AUTO ANCL AND COMPONENTS,0,0,39.15,-1.15,39.85,38.25,0.017565872
ANANTRAJ,Buy,REALTY,0,0,67.65,-3.25,68.4,65.15,0.010964912
ANDHRABANK,Buy,BANKS-PSU,#N/A,#N/A,70.85,0.42,72.1,70.55,0.017337032
ANDHRACEMT,Exit,CEMENTS,#N/A,#N/A,9.95,#N/A,#N/A,#N/A,#N/A
ANDHRSUGAR,Exit,FMCG-SUGAR,0,0,325.8,-1.43,331.5,318.7,0.01719457
ANGIND,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,10.2,#N/A,#N/A,#N/A,#N/A
ANIKINDS,HWLV,FMCG-FOOD,#N/A,#N/A,34.85,#N/A,#N/A,#N/A,#N/A
ANKITMETAL,Exit,METALS AND MINING,#N/A,#N/A,1.75,#N/A,#N/A,#N/A,#N/A
ANSALAPI,Exit,REALTY,#N/A,#N/A,30.55,#N/A,#N/A,#N/A,#N/A
ANSALHSG,HWLV,REALTY,#N/A,#N/A,32.55,1.38,34.05,32.6,0.044052863
ANTGRAPHIC,Exit,MEDIA-ENTERTAINMENT,#N/A,#N/A,1.2,#N/A,#N/A,#N/A,#N/A
APARINDS,Buy,INFRA-MACHINERY EQUIPMENT,0,0,831.2,-1.33,837.6,817.1,0.007640879
APCL,NL,0,#N/A,#N/A,243.05,#N/A,#N/A,#N/A,#N/A
APCOTEXIND,BWLV,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,372.2,-0.91,381.9,366,0.025399319
APLAPOLLO,HWV,INFRA-MACHINERY EQUIPMENT,steel,down,1459.55,-2.89,1487.9,1412.55,0.0190537
APLLTD,Buy,PHARMA,0,0,600.6,1.07,612,600.9,0.018627451
APOLLOHOSP,Exit,PHARMA,#N/A,#N/A,1304.6,1.2,1330,1301.7,0.019097744
APOLLOTYRE,Buy,AUTO-TYRES AND TUBES,#N/A,#N/A,231.65,-0.3,235.4,230.35,0.015930331
APOLSINHOT,Exit,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,710,#N/A,#N/A,#N/A,#N/A
APTECHT,RS,IT,0,0,216.8,-0.39,221.45,215.1,0.020997968
ARCHIDPLY,HWLV,REALTY-HOUSEHOLD,#N/A,#N/A,78.65,-1.78,79.85,76.8,0.015028178
ARCHIES,TA,FMCG,#N/A,#N/A,32.4,#N/A,#N/A,#N/A,#N/A
ARCOTECH,Buy,METALS AND MINING,0,0,402.05,-0.09,418,401,0.038157895
ARIES,HWV,CHEMICALS,#N/A,#N/A,159.7,-0.41,162.7,159,0.018438844
ARIHANT,HWLV,REALTY,#N/A,#N/A,63,#N/A,#N/A,#N/A,#N/A
ARIHANTSUP,NL,REALTY,#N/A,#N/A,165.05,#N/A,#N/A,#N/A,#N/A
ARMANFIN,NL,FINANCIAL SERVICES,#N/A,#N/A,193.95,#N/A,#N/A,#N/A,#N/A
AROGRANITE,HWLV,REALTY-HOUSEHOLD,0,0,75.25,-1.13,75.5,74.25,0.003311258
ARROWGREEN,#N/A,FMCG-PACKAGING,#N/A,#N/A,501.7,#N/A,#N/A,#N/A,#N/A
ARROWTEX,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,47.75,-0.63,48.5,47.4,0.015463918
ARSHIYA,Exit,TRANSPORTATION LOGISTICS,#N/A,#N/A,68.5,#N/A,#N/A,#N/A,#N/A
ARSSINFRA,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,0,0,77.75,0.32,79.65,77.35,0.023854363
ARVIND,HWV,TEXTILES AND APPAREL,#N/A,#N/A,420.9,-0.8,426.85,411.9,0.013939323
ARVSMART,Exit,REALTY,#N/A,#N/A,129.55,#N/A,#N/A,#N/A,#N/A
ASAHIINDIA,RS,AUTO-AUTOMOBILES AND AUTO PARTS,0,0,232.25,3.34,241.4,233.3,0.037903894
ASAHISONG,HWLV,CHEMICALS,0,0,312,0.08,314.45,308.1,0.007791382
ASAL,TA,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,67.6,#N/A,#N/A,#N/A,#N/A
ASHAPURMIN,Exit,METALS AND MINING,#N/A,#N/A,67.8,#N/A,#N/A,#N/A,#N/A
ASHIANA,Buy,REALTY,#N/A,#N/A,234.5,-1.07,238,230.55,0.014705882
ASHIMASYN,BWLV,TEXTILES AND APPAREL,#N/A,#N/A,21.1,#N/A,#N/A,#N/A,#N/A
ASHOKA,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,0,0,207.55,2.19,217.5,207.45,0.045747126
ASHOKLEY,Buy,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,85.55,1.29,87.15,85.8,0.018359151
ASIANHOTNR,Exit,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,141.9,#N/A,#N/A,#N/A,#N/A
ASIANPAINT,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,1158.3,1.29,1178.9,1152.3,0.017473916
ASIANTILES,HWV,REALTY-HOUSEHOLD,0,0,387.9,0.28,394.9,385,0.017726007
ASPINWALL,NL,TRANSPORTATION LOGISTICS,#N/A,#N/A,223.85,#N/A,#N/A,#N/A,#N/A
ASSAMCO,Exit,FMCG-BEVERAGES,#N/A,#N/A,7.15,-0.7,7.3,7.1,0.020547945
ASTEC,RS,PHARMA,0,0,592.85,-0.49,598,587.1,0.00861204
ASTRAL,Exit,REALTY-HOUSEHOLD,0,0,590.25,0.13,605,585,0.024380165
ASTRAMICRO,Buy,DEFENCE,0,0,145.05,-4.52,147.1,138.1,0.013936098
ASTRAZEN,Exit,PHARMA,0,0,979.5,-0.76,983.05,971.25,0.00361121
ATFL,HWLV,FMCG-FOOD,#N/A,#N/A,508.55,-0.14,514.75,501.2,0.012044682
ATLANTA,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,0,0,114.35,-0.96,115.25,111.5,0.007809111
ATLASCYCLE,Exit,TRANSPORTATION LOGISTICS,0,0,411.25,0,0,0,#DIV/0!
ATNINTER,Exit,MEDIA-ENTERTAINMENT,#N/A,#N/A,0.25,#N/A,#N/A,#N/A,#N/A
ATUL,Buy,CHEMICALS,CRUDE OIL,Down,2517.5,0.38,2544.65,2510,0.010669444
ATULAUTO,BWLV,AUTO-AUTOMOBILES AND AUTO PARTS,0,0,420.85,2.65,432.45,420.55,0.02682391
AURIONPRO,Exit,IT,#N/A,#N/A,130.05,-3.19,131.8,124.9,0.013277693
AUROPHARMA,Buy,PHARMA,#N/A,#N/A,618.95,0.9,626.8,614.6,0.012523931
AUSOMENT,Exit,DIVERSIFIED,#N/A,#N/A,25.5,#N/A,#N/A,#N/A,#N/A
AUSTRAL,Exit,METALS AND MINING,#N/A,#N/A,0.3,#N/A,#N/A,#N/A,#N/A
AUTOAXLES,BWLV,AUTO-AUTO ANCL AND COMPONENTS,0,0,709.2,-0.16,719.9,705.4,0.014863175
AUTOIND,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,57.65,#N/A,#N/A,#N/A,#N/A
AUTOLITIND,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,59,#N/A,#N/A,#N/A,#N/A
AVANTIFEED,Buy,FMCG-FOOD,0,0,897.1,0.32,909,898.05,0.013091309
AVTNPL,HWLV,FMCG-FOOD,#N/A,#N/A,47.95,1.46,50,48,0.041
AXISBANK,HWV,BANKS-PRIVATE,#N/A,#N/A,526.35,-1.01,534.6,519.35,0.015432099
AXISCADES,HWV,DEFENCE,0,0,162.65,0.06,166.7,161.85,0.024295141
AYMSYNTEX,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,81.6,#N/A,#N/A,#N/A,#N/A
BAFNAPHARM,Exit,PHARMA,#N/A,#N/A,28.55,#N/A,#N/A,#N/A,#N/A
BAGFILMS,Exit,MEDIA-ENTERTAINMENT,#N/A,#N/A,4.8,#N/A,#N/A,#N/A,#N/A
BAJAJ-AUTO,Buy,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,2904.8,2.38,2979.7,2897.05,0.025136759
BAJAJCORP,HWV,FMCG,0,0,379.95,-1.67,383.85,371.5,0.010160219
BAJAJELEC,HWV,REALTY-HOUSEHOLD,"non ferrous metals, ferrous metal ",down,351.2,0.11,357,351.2,0.016246499
BAJAJFINSV,HWV,FINANCIAL SERVICES-NBFC,Interest Rate,Down,4391.45,1.46,4528.95,4381.25,0.030360238
BAJAJHIND,Exit,FMCG-SUGAR,#N/A,#N/A,16.55,0,17.1,16.3,0.032163743
BAJAJHLDNG,Buy,FINANCIAL SERVICES-NBFC,Interest Rate,Down,2125.7,1.55,2179.95,2123,0.024885892
BAJFINANCE,HWV,FINANCIAL SERVICES-NBFC,#N/A,#N/A,1327,-0.03,1334.95,1318.45,0.005955279
BALAJITELE,Exit,MEDIA-ENTERTAINMENT,0,0,113.1,0.39,117.55,113,0.037856231
BALAMINES,BWLV,CHEMICALS,AMMONIA,Down,390.85,-0.23,397,388.45,0.015491184
BALKRISHNA,Exit,PAPER,#N/A,#N/A,92.65,#N/A,#N/A,#N/A,#N/A
BALKRISIND,Buy,AUTO-TYRES AND TUBES,RUBBER,Down,1554.7,-2.33,1565,1504.05,0.00658147
BALLARPUR,Exit,PAPER,#N/A,#N/A,20.6,4.13,22.4,20.9,0.080357143
BALMLAWRIE,Buy,DIVERSIFIED,"Steel, Lubricant Oil",0,233.05,-0.24,233.65,231.1,0.002567944
BALPHARMA,Exit,PHARMA,0,0,100.75,0.25,103,100.75,0.02184466
BALRAMCHIN,Buy,FMCG-SUGAR,sugar,0,165.85,0.66,169.2,164.8,0.019799054
BANARBEADS,TA,DIVERSIFIED,#N/A,#N/A,64.5,#N/A,#N/A,#N/A,#N/A
BANARISUG,BWLV,FMCG-SUGAR,#N/A,#N/A,1940.6,#N/A,#N/A,#N/A,#N/A
BANCOINDIA,Buy,AUTO-AUTO ANCL AND COMPONENTS,Aluminum,Down,232.55,-0.88,234.7,229.3,0.009160631
BANG,Exit,TEXTILES AND APPAREL,#N/A,#N/A,46.4,#N/A,#N/A,#N/A,#N/A
BANKBARODA,TA,BANKS-PSU,#N/A,#N/A,185.55,1.16,190.5,185.8,0.025984252
BANKINDIA,TA,BANKS-PSU,#N/A,#N/A,180.85,1.08,186.4,180.5,0.029774678
BANSWRAS,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,226.35,-0.6,232,224.05,0.024353448
BARTRONICS,Exit,IT,#N/A,#N/A,17.75,#N/A,#N/A,#N/A,#N/A
BASF,Exit,CHEMICALS,0,0,1346.25,-0.14,1367.45,1337,0.015503309
BASML,Exit,TEXTILES AND APPAREL,#N/A,#N/A,316.25,#N/A,#N/A,#N/A,#N/A
BATAINDIA,HWV,FOOTWEAR,#N/A,#N/A,574.85,-0.16,580,572,0.00887931
BAYERCROP,HWV,CHEMICALS,0,0,4708.05,-1.02,4735.95,4645,0.005891109
BBL,HWLV,INFRA-MACHINERY EQUIPMENT,0,0,1040.5,-1.05,1049.55,1022,0.008622743
BBTC,TA,FMCG-BEVERAGES,0,0,888.1,-0.51,895.7,882.1,0.008484984
BEARDSELL,HWLV,CEMENTS,#N/A,#N/A,76.7,0,0,0,#DIV/0!
BEDMUTHA,Exit,METALS AND MINING,#N/A,#N/A,43.35,#N/A,#N/A,#N/A,#N/A
BEL,Buy,DEFENCE,#N/A,#N/A,183.95,-1.14,186.9,181.55,0.015783842
BEML,Exit,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,1361.4,1.59,1394.5,1372.35,0.023736106
BEPL,Exit,CHEMICALS,#N/A,#N/A,39.55,6.7,42.9,38.65,0.078088578
BERGEPAINT,Exit,REALTY-HOUSEHOLD,0,0,260.15,0.73,264.8,257.7,0.017560423
BFINVEST,Exit,FINANCIAL SERVICES-NBFC,Interest Rate,Down,172.75,-1.01,174,170.35,0.007183908
BFUTILITIE,Exit,AUTO-AUTOMOBILES AND AUTO PARTS,0,0,466.25,-2.05,468.6,453.05,0.005014938
BGLOBAL,Exit,IT,#N/A,#N/A,6.75,#N/A,#N/A,#N/A,#N/A
BGRENERGY,Buy,INFRA-MACHINERY EQUIPMENT,0,0,182.55,-2.77,183.75,176.5,0.006530612
BHAGERIA,HWV,CHEMICALS,0,0,358.25,-3.15,361.9,345.05,0.010085659
BHANDARI,NL,TEXTILES AND APPAREL,#N/A,#N/A,2.8,#N/A,#N/A,#N/A,#N/A
BHARATFIN,HWV,FINANCIAL SERVICES-NBFC,#N/A,#N/A,760.65,2.41,803.85,763.25,0.05374137
BHARATFORG,HWV,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,1125.1,0.8,1152,1123.95,0.023350694
BHARATGEAR,TA,AUTO-AUTOMOBILES AND AUTO PARTS,#N/A,#N/A,133,#N/A,#N/A,#N/A,#N/A
BHARATIDIL,Exit,TRANSPORTATION LOGISTICS,#N/A,#N/A,11.45,#N/A,#N/A,#N/A,#N/A
BHARATRAS,Exit,CHEMICALS,#N/A,#N/A,2838.45,#N/A,#N/A,#N/A,#N/A
BHARATWIRE,NL,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,105.05,0.1,106.8,105,0.016385768
BHARTIARTL,HWV,INFRA-TELECOM,#N/A,#N/A,372.75,-2.09,370.85,362.45,-0.005123365
BHEL,RS,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,177.1,-1.07,178.45,174.55,0.007565144
BHUSANSTL,Exit,METALS AND MINING,0,0,87.9,-2.16,88.5,85.1,0.006779661
BIGBLOC,NL,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,90.75,#N/A,#N/A,#N/A,#N/A
BIL,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,586.3,-0.57,594.95,581.05,0.014539037
BILENERGY,Exit,INFRA-MACHINERY EQUIPMENT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
BILPOWER,Exit,INFRA-POWER,#N/A,#N/A,1.2,#N/A,#N/A,#N/A,#N/A
BINANIIND,HWLV,CEMENTS,0,0,85.9,2.04,89.7,86.1,0.042363434
BINDALAGRO,BWLV,FERTILISERS,#N/A,#N/A,30.45,#N/A,#N/A,#N/A,#N/A
BIOCON,HWV,PHARMA,#N/A,#N/A,1004.4,0.12,1018,992.9,0.013359528
BIRLACABLE,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,47.9,#N/A,#N/A,#N/A,#N/A
BIRLACORPN,HWV,CEMENTS,LIME STONE,Down,774.7,0.04,784,771.1,0.011862245
BIRLAMONEY,Exit,FINANCIAL SERVICES-NBFC,#N/A,#N/A,52.85,#N/A,#N/A,#N/A,#N/A
BLBLIMITED,Exit,FINANCIAL SERVICES,#N/A,#N/A,6.8,#N/A,#N/A,#N/A,#N/A
BLISSGVS,HWV,PHARMA,0,0,168.1,-0.24,169.4,165.65,0.007674144
BLKASHYAP,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,31.4,3.82,33.25,30.85,0.055639098
BLS,NL,IT,#N/A,#N/A,182.6,4.98,191.7,185.25,0.047470005
BLUEBLENDS,Exit,TEXTILES AND APPAREL,#N/A,#N/A,43.95,#N/A,#N/A,#N/A,#N/A
BLUEDART,Exit,TRANSPORTATION LOGISTICS,0,0,4682.2,-1.65,4700,4580,0.003787234
BLUESTARCO,RS,REALTY-HOUSEHOLD,"non ferrous metals, aluminium",Down,692.7,-1.89,702,675.05,0.013247863
BODALCHEM,Buy,CHEMICALS,CRUDE OIL,Down,157.8,-2.41,159,153.55,0.00754717
BOMDYEING,Exit,TEXTILES AND APPAREL,0,0,85,-0.47,86.7,84.05,0.019607843
BOSCHLTD,HWV,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,23214,0.99,23813.65,23169.4,0.025180936
BPCL,Buy,ENERGY-OIL & GAS,#N/A,#N/A,728.25,0.24,735.4,725,0.0097226
BPL,HWV,REALTY-HOUSEHOLD,0,0,79.65,-1.19,80.2,78.6,0.006857855
BRFL,Exit,TEXTILES AND APPAREL,#N/A,#N/A,143,-0.94,145.05,139.05,0.014133058
BRIGADE,Buy,REALTY,0,0,242.3,1.13,249,242.5,0.026907631
BRITANNIA,Exit,FMCG-FOOD,#N/A,#N/A,3711.3,-0.33,3744,3685.2,0.008733974
BROOKS,HWLV,PHARMA,0,0,132.85,-0.15,134.3,132,0.010796724
BSE,NL,FINANCIAL SERVICES,#N/A,#N/A,997.1,0.22,1003.75,998,0.006625156
BSELINFRA,RS,REALTY,#N/A,#N/A,5.9,#N/A,#N/A,#N/A,#N/A
BSL,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,82.4,#N/A,#N/A,#N/A,#N/A
BSLIMITED,Exit,INFRA-TELECOM,#N/A,#N/A,2.05,#N/A,#N/A,#N/A,#N/A
BURNPUR,Exit,CEMENTS,#N/A,#N/A,9.85,-0.51,9.95,9.75,0.010050251
BUTTERFLY,Exit,REALTY-HOUSEHOLD,#N/A,#N/A,187.25,-1.47,191.45,184.15,0.021937843
BVCL,Exit,CEMENTS,#N/A,#N/A,34.2,#N/A,#N/A,#N/A,#N/A
BYKE,Buy,ENTERTAINMENT-HOTELS AND LEISURE,0,0,211.2,-1.42,214.35,207.75,0.014695591
CADILAHC,HWV,PHARMA,#N/A,#N/A,470.15,4.55,495,473.5,0.05020202
CAMLINFINE,Exit,CHEMICALS,0,0,90.75,0.88,91.85,90.35,0.011976048
CANBK,Buy,BANKS-PSU,#N/A,#N/A,368.55,0.97,378.65,369.3,0.026673709
CANDC,TA,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,69.45,#N/A,#N/A,#N/A,#N/A
CANFINHOME,HWV,FINANCIAL SERVICES-NBFC,Interest Rate,Down,2804.9,-2.67,2832.95,2720,0.00990134
CANTABIL,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,78.25,0.38,82.9,78.05,0.056091677
CAPF,HWV,FINANCIAL SERVICES,Interst rate,0,794.1,-2.98,799,767.3,0.006132666
CAPLIPOINT,HWV,PHARMA,#N/A,#N/A,405.7,12.13,466,431,0.129399142
CAPTRUST,NL,FINANCIAL SERVICES-NBFC,#N/A,#N/A,400.75,#N/A,#N/A,#N/A,#N/A
CARBORUNIV,HWV,AUTO-AUTOMOBILES AND AUTO PARTS,0,0,296,0,300.05,292.15,0.01349775
CAREERP,HWLV,IT,#N/A,#N/A,104.5,#N/A,#N/A,#N/A,#N/A
CARERATING,HWV,FINANCIAL SERVICES,0,0,1565.05,1.22,1598.8,1565.05,0.021109582
CASTEXTECH,Exit,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,8.3,-0.6,8.45,8.25,0.017751479
CASTROLIND,HWV,AUTO-AUTO ANCL AND COMPONENTS,#N/A,#N/A,441,-0.44,443.95,438,0.006644892
CCCL,Exit,INFRA-CONSTRUCTION ENGINEERING AND MATERIALS,#N/A,#N/A,6.05,#N/A,#N/A,#N/A,#N/A
CCHHL,Exit,ENTERTAINMENT-HOTELS AND LEISURE,#N/A,#N/A,15.3,#N/A,#N/A,#N/A,#N/A
CCL,HWV,FMCG-BEVERAGES,0,0,340,-0.76,342.05,337,0.005993276
CEATLTD,Buy,AUTO-TYRES AND TUBES,#N/A,#N/A,1647.55,0.52,1668.8,1631,0.012733701
CEBBCO,Exit,TRANSPORTATION LOGISTICS,#N/A,#N/A,13.6,#N/A,#N/A,#N/A,#N/A
CELEBRITY,HWLV,TEXTILES AND APPAREL,#N/A,#N/A,16.9,0.3,17.2,16.7,0.01744186
CELESTIAL,Exit,PHARMA,#N/A,#N/A,25.3,#N/A,#N/A,#N/A,#N/A
CENTENKA,Buy,AUTO-AUTO ANCL AND COMPONENTS,0,0,430.5,-2.67,432.45,418.2,0.004509192
CENTEXT,HWLV,METALS AND MINING,#N/A,#N/A,5.55,#N/A,#N/A,#N/A,#N/A
CENTRALBK,Exit,BANKS-PSU,0,0,117.45,-2.09,118.6,114.1,0.009696459
CENTUM,HWLV,DEFENCE,#N/A,#N/A,623.65,#N/A,#N/A,#N/A,#N/A
CENTURYPLY,HWV,REALTY-HOUSEHOLD,timber logs,0,257.3,0.72,260.35,256,0.011714999
CENTURYTEX,RS,DIVERSIFIED,#N/A,#N/A,1182.45,1.26,1212.7,1192,0.024944339
